Emisi Savanna Api,Emisi Tanah Organik Yang Dikeringkan (Co2),Emisi Pembuatan Pestisida,Emisi Transportasi Makanan,Lahan Hutan,Konversi Hutan Bersih,Emisi Ritel Makanan,Emisi Pupuk Kandang Di Padang Rumput,Emisi Kebakaran Di Tanah Organik,Emisi Total,Peningkatan Suhu Rata - Rata ° C,Tahun,Negara_Encoded
2.816826875041151,0.6931471805599453,2.6252106884086883,4.175130070873748,-13.367805313276945,0.0,4.715319715989056,7.373079979091136,0.0,7.902014156336594,0.5361666666666667,1990,0
2.816826875041151,0.6931471805599453,2.618276692304366,4.145443170992969,-13.367805313276945,0.0,4.776420684148044,7.414112353637231,0.0,7.947195471797806,0.0206666666666666,1991,0
2.816826875041151,0.6931471805599453,2.618276692304366,4.011870150350975,-13.367805313276945,0.0,4.853373111895559,7.411862041667918,0.0,7.9585983167223935,-0.2595833333333333,1992,0
2.816826875041151,0.6931471805599453,2.618276692304366,4.030602168535398,-13.367805313276945,0.0,4.424374664210175,7.405472319461964,0.0,7.962843154597317,0.1019166666666666,1993,0
2.816826875041151,0.6931471805599453,2.618276692304366,4.0239310392303596,-13.367805313276945,0.0,4.526134554376518,7.433287390283751,0.0,8.007875011410428,0.3722499999999999,1994,0
2.816826875041151,0.6931471805599453,2.618276692304366,4.035613147158278,-13.367805313276945,0.0,4.613811739974247,7.48510612408929,0.0,8.048267234576612,0.2855833333333333,1995,0
3.7118681768837734,0.6931471805599453,2.618276692304366,4.009091638247334,-13.367805313276945,0.0,3.1631812802251944,7.550969607753757,0.0,8.114527663296627,0.0365833333333333,1996,0
3.4946209344194945,0.6931471805599453,2.618276692304366,3.988467246379394,-13.367805313276945,0.0,3.408275605162155,7.655692114531109,0.0,8.218230970574375,0.4151666666666667,1997,0
4.191790338803312,0.6931471805599453,2.618276692304366,4.0007314415979085,-13.367805313276945,0.0,3.493074402186304,7.743873854804676,0.0,8.310039536020833,0.8908333333333335,1998,0
3.874701128344047,0.6931471805599453,2.618276692304366,3.6295566408269613,-13.367805313276945,0.0,3.724043874701555,7.846468614779077,0.0,8.34249773278098,1.0585,1999,0
3.210077230511851,0.6931471805599453,2.618276692304366,3.701032802086485,-13.367805313276945,0.0,4.327306422473649,7.718254780231868,0.0,8.193479141548655,0.9756666666666668,2000,0
